owner,name,dms_gps,dd_gps,country_code,country,address,ai prediction,sentinel 5P https://maps.s5p-pal.com/,Double Check
clement,bergson_img_2021_04_17_01_52_26.jpg,"('28.0°29.0'14.1""N', '154.0°0.0'36.1""W')","(28.008055555555554, -154.0)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_52_47.jpg,"('27.0°31.0'19.1""N', '153.0°1.0'3.7""W')","(27.00861111111111, -153.00027777777777)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_53_09.jpg,"('26.0°30.0'7.0""N', '151.0°59.0'54.1""W')","(26.008333333333333, -151.01638888888888)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_53_30.jpg,"('25.0°31.0'13.5""N', '151.0°2.0'37.6""W')","(25.00861111111111, -151.00055555555556)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_53_51.jpg,"('24.0°31.0'53.7""N', '150.0°6.0'22.2""W')","(24.00861111111111, -150.00166666666667)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_54_13.jpg,"('23.0°29.0'18.2""N', '149.0°8.0'28.3""W')","(23.008055555555554, -149.00222222222223)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_54_34.jpg,"('22.0°29.0'9.8""N', '148.0°14.0'8.4""W')","(22.008055555555554, -148.0038888888889)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_54_55.jpg,"('21.0°28.0'39.8""N', '147.0°20.0'40.1""W')","(21.00777777777778, -147.00555555555556)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_55_18.jpg,"('20.0°22.0'1.0""N', '146.0°23.0'2.2""W')","(20.00611111111111, -146.0063888888889)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_55_39.jpg,"('19.0°20.0'50.1""N', '145.0°31.0'12.7""W')","(19.005555555555556, -145.00861111111112)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_56_00.jpg,"('18.0°19.0'21.7""N', '144.0°40.0'6.0""W')","(18.005277777777778, -144.01111111111112)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_56_22.jpg,"('17.0°14.0'40.2""N', '143.0°47.0'16.1""W')","(17.003888888888888, -143.01305555555555)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_56_43.jpg,"('16.0°12.0'39.6""N', '142.0°57.0'28.6""W')","(16.003333333333334, -142.01583333333335)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_57_06.jpg,"('15.0°4.0'28.7""N', '142.0°3.0'36.1""W')","(15.001111111111111, -142.00083333333333)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_57_27.jpg,"('14.0°2.0'0.0""N', '141.0°14.0'58.2""W')","(14.000555555555556, -141.0038888888889)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_57_48.jpg,"('12.0°59.0'19.6""N', '140.0°26.0'49.7""W')","(12.016388888888889, -140.00722222222223)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_58_10.jpg,"('11.0°53.0'28.5""N', '139.0°36.0'52.6""W')","(11.014722222222222, -139.01)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_58_31.jpg,"('10.0°50.0'27.1""N', '138.0°49.0'36.8""W')","(10.01388888888889, -138.01361111111112)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_58_52.jpg,"('9.0°47.0'17.0""N', '138.0°2.0'43.2""W')","(9.013055555555555, -138.00055555555556)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_59_15.jpg,"('8.0°37.0'56.9""N', '137.0°11.0'44.4""W')","(8.010277777777778, -137.00305555555556)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_59_36.jpg,"('7.0°34.0'31.4""N', '136.0°25.0'29.9""W')","(7.009444444444444, -136.00694444444446)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_01_59_57.jpg,"('6.0°30.0'59.9""N', '135.0°39.0'30.7""W')","(6.008333333333334, -135.01083333333332)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_00_20.jpg,"('5.0°21.0'19.6""N', '134.0°49.0'23.6""W')","(5.005833333333333, -134.01361111111112)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_00_41.jpg,"('4.0°17.0'38.6""N', '134.0°3.0'49.3""W')","(4.004722222222222, -134.00083333333333)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_01_03.jpg,"('3.0°10.0'52.0""N', '133.0°16.0'13.9""W')","(3.0027777777777778, -133.00444444444443)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_01_24.jpg,"('2.0°7.0'5.2""N', '132.0°30.0'54.9""W')","(2.0019444444444443, -132.00833333333333)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_01_45.jpg,"('1.0°3.0'16.8""N', '131.0°45.0'40.1""W')","(1.0008333333333332, -131.0125)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_02_08.jpg,"('0.0°6.0'37.0""N', '130.0°56.0'9.2""W')","(0.0016666666666666668, -130.01555555555555)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_02_29.jpg,"('1.0°10.0'26.0""S', '130.0°10.0'56.5""W')","(-1.0027777777777778, -130.00277777777777)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_02_50.jpg,"('2.0°14.0'13.9""S', '129.0°25.0'41.7""W')","(-2.003888888888889, -129.00694444444446)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_03_12.jpg,"('3.0°21.0'2.1""S', '128.0°38.0'12.8""W')","(-3.0058333333333334, -128.01055555555556)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_03_33.jpg,"('4.0°24.0'45.3""S', '127.0°52.0'46.9""W')","(-4.006666666666667, -127.01444444444445)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_03_54.jpg,"('5.0°28.0'24.9""S', '127.0°7.0'12.3""W')","(-5.007777777777778, -127.00194444444445)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_04_17.jpg,"('6.0°38.0'3.2""S', '126.0°17.0'4.9""W')","(-6.010555555555555, -126.00472222222223)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_04_38.jpg,"('7.0°41.0'32.5""S', '125.0°31.0'5.4""W')","(-7.011388888888889, -125.00861111111111)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_04_59.jpg,"('8.0°44.0'55.6""S', '124.0°44.0'50.5""W')","(-8.012222222222222, -124.01222222222222)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_05_21.jpg,"('9.0°51.0'12.1""S', '123.0°56.0'4.7""W')","(-9.014166666666666, -123.01555555555555)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_05_43.jpg,"('10.0°57.0'19.7""S', '123.0°6.0'57.1""W')","(-10.015833333333333, -123.00166666666667)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_06_05.jpg,"('12.0°3.0'17.3""S', '122.0°17.0'25.1""W')","(-12.000833333333333, -122.00472222222223)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_06_26.jpg,"('13.0°6.0'4.8""S', '121.0°29.0'43.0""W')","(-13.001666666666667, -121.00805555555556)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_06_47.jpg,"('14.0°8.0'41.2""S', '120.0°41.0'33.9""W')","(-14.002222222222223, -120.01138888888889)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_50_53.jpg,"('6.0°57.0'34.7""N', '42.0°8.0'9.0""E')","(6.015833333333333, 42.00222222222222)",et,Ethiopia,"{'place_id': 257278731, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 3293966, 'lat': '6.402589949999999', 'lon': '43.398382018489485', 'display_name': 'Nogob, áˆ¶áˆ›áˆŒ áŠ­áˆáˆ / Somali, áŠ¢á‰µá‹®áŒµá‹«', 'address': {'state_district': 'Nogob', 'state': 'áˆ¶áˆ›áˆŒ áŠ­áˆáˆ / Somali', 'country': 'áŠ¢á‰µá‹®áŒµá‹«', 'country_code': 'et'}, 'boundingbox': ['4.1632355', '8.6420016', '40.8591872', '45.8452001']}",low,low,no
clement,bergson_img_2021_04_17_02_51_15.jpg,"('8.0°4.0'2.5""N', '42.0°56.0'24.4""E')","(8.001111111111111, 42.01555555555556)",et,Ethiopia,"{'place_id': 257278731, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 3293966, 'lat': '6.402589949999999', 'lon': '43.398382018489485', 'display_name': 'Nogob, áˆ¶áˆ›áˆŒ áŠ­áˆáˆ / Somali, áŠ¢á‰µá‹®áŒµá‹«', 'address': {'state_district': 'Nogob', 'state': 'áˆ¶áˆ›áˆŒ áŠ­áˆáˆ / Somali', 'country': 'áŠ¢á‰µá‹®áŒµá‹«', 'country_code': 'et'}, 'boundingbox': ['4.1632355', '8.6420016', '40.8591872', '45.8452001']}",low,low,no
clement,bergson_img_2021_04_17_02_51_36.jpg,"('9.0°7.0'22.5""N', '43.0°42.0'44.7""E')","(9.001944444444444, 43.01166666666666)",et,Ethiopia,"{'place_id': 11567758, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 1150881290, 'lat': '8.99083', 'lon': '43.01583', 'display_name': 'Gakho, Jijiga, áˆ¶áˆ›áˆŒ áŠ­áˆáˆ / Somali, áŠ¢á‰µá‹®áŒµá‹«', 'address': {'locality': 'Gakho', 'state_district': 'Jijiga', 'state': 'áˆ¶áˆ›áˆŒ áŠ­áˆáˆ / Somali', 'country': 'áŠ¢á‰µá‹®áŒµá‹«', 'country_code': 'et'}, 'boundingbox': ['8.98083', '9.00083', '43.00583', '43.02583']}",low,low,no
clement,bergson_img_2021_04_17_02_51_57.jpg,"('10.0°10.0'35.4""N', '44.0°29.0'23.5""E')","(10.002777777777778, 44.00805555555556)",so,Somalia,"{'place_id': 221741897, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 654334828, 'lat': '10.002768867696217', 'lon': '44.008054181704615', 'display_name': 'Ilinta Galbeed, Hargeysa Ù‡Ø±Ø¬ÙŠØ³Ø§, ÙˆÙ‚ÙˆÙŠÙŠ Ø¬Ø§Ù„Ø¨ÙŠØ¯ Woqooyi Galbeed, Ø¬Ù…Ù‡ÙˆØ±ÙŠØ© Ø£Ø±Ø¶ Ø§Ù„ØµÙˆÙ…Ø§Ù„ Jamhuuriyadda Soomaaliland', 'address': {'village': 'Ilinta Galbeed', 'county': 'Hargeysa Ù‡Ø±Ø¬ÙŠØ³Ø§', 'state': 'ÙˆÙ‚ÙˆÙŠÙŠ Ø¬Ø§Ù„Ø¨ÙŠØ¯ Woqooyi Galbeed', 'country': 'Ø¬Ù…Ù‡ÙˆØ±ÙŠØ© Ø£Ø±Ø¶ Ø§Ù„ØµÙˆÙ…Ø§Ù„ Jamhuuriyadda Soomaaliland', 'country_code': 'so'}, 'boundingbox': ['9.8809071', '10.1054355', '44.004938', '44.0319514']}",low,low,no
clement,bergson_img_2021_04_17_02_52_19.jpg,"('11.0°16.0'40.1""N', '45.0°18.0'37.9""E')","(11.004444444444445, 45.005)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_52_40.jpg,"('12.0°19.0'35.2""N', '46.0°6.0'1.6""E')","(12.005277777777778, 46.001666666666665)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_53_01.jpg,"('13.0°22.0'20.2""N', '46.0°53.0'50.8""E')","(13.00611111111111, 46.014722222222225)",none,nan,not found,low,low,no
clement,bergson_img_2021_04_17_02_53_23.jpg,"('14.0°27.0'52.7""N', '47.0°44.0'26.5""E')","(14.0075, 47.01222222222222)",ye,Yemen,"{'place_id': 257943930, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 9171060, 'lat': '14.01847', 'lon': '46.755958', 'display_name': 'Ù…Ø¯ÙŠØ±ÙŠØ© Ø§Ù„Ù…Ø­ÙØ¯, Ù…Ø­Ø§ÙØ¸Ø© Ø£Ø¨ÙŠÙ†, Ø§Ù„ÙŠÙ…Ù†', 'address': {'district': 'Ù…Ø¯ÙŠØ±ÙŠØ© Ø§Ù„Ù…Ø­ÙØ¯', 'state': 'Ù…Ø­Ø§ÙØ¸Ø© Ø£Ø¨ÙŠÙ†', 'country': 'Ø§Ù„ÙŠÙ…Ù†', 'country_code': 'ye'}, 'boundingbox': ['13.7346717', '14.2053851', '46.3511729', '47.1607348']}",low,low,no
clement,bergson_img_2021_04_17_02_53_44.jpg,"('15.0°30.0'13.9""N', '48.0°33.0'15.3""E')","(15.008333333333333, 48.009166666666665)",ye,Yemen,"{'place_id': 12861932, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 1217742669, 'lat': '15.001667', 'lon': '48.016111', 'display_name': 'Ø§Ù„ÙˆÙ„ÙŠØ¬Ø§Øª, Ù…Ø¯ÙŠØ±ÙŠØ© Ø§Ù„Ø¶Ù„ÙŠØ¹Ø©, Ù…Ø­Ø§ÙØ¸Ø© Ø­Ø¶Ø±Ù…ÙˆØª, Ø§Ù„ÙŠÙ…Ù†', 'address': {'hamlet': 'Ø§Ù„ÙˆÙ„ÙŠØ¬Ø§Øª', 'district': 'Ù…Ø¯ÙŠØ±ÙŠØ© Ø§Ù„Ø¶Ù„ÙŠØ¹Ø©', 'state': 'Ù…Ø­Ø§ÙØ¸Ø© Ø­Ø¶Ø±Ù…ÙˆØª', 'country': 'Ø§Ù„ÙŠÙ…Ù†', 'country_code': 'ye'}, 'boundingbox': ['14.981667', '15.021667', '47.996111', '48.036111']}",low,low,no
clement,bergson_img_2021_04_17_02_54_06.jpg,"('16.0°35.0'19.1""N', '49.0°24.0'58.9""E')","(16.009722222222223, 49.00666666666667)",ye,Yemen,"{'place_id': 143001423, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 216699566, 'lat': '16.009575644585468', 'lon': '49.006168176502754', 'display_name': 'Ø®Ø· ØªØ±ÙŠÙ…, ØªØ±ÙŠÙ…, Ø§Ù„Ø­Ø§ÙˆÙŠ, Ø¯ÙŠØ§Ø± Ø¢Ù„ ÙŠÙ…Ø§Ù†ÙŠ, Ù…Ø¯ÙŠØ±ÙŠØ© ØªØ±ÙŠÙ…, Ù…Ø­Ø§ÙØ¸Ø© Ø­Ø¶Ø±Ù…ÙˆØª, Ø§Ù„ÙŠÙ…Ù†', 'address': {'road': 'Ø®Ø· ØªØ±ÙŠÙ…', 'residential': 'ØªØ±ÙŠÙ…', 'suburb': 'Ø§Ù„Ø­Ø§ÙˆÙŠ', 'village': 'Ø¯ÙŠØ§Ø± Ø¢Ù„ ÙŠÙ…Ø§Ù†ÙŠ', 'district': 'Ù…Ø¯ÙŠØ±ÙŠØ© ØªØ±ÙŠÙ…', 'state': 'Ù…Ø­Ø§ÙØ¸Ø© Ø­Ø¶Ø±Ù…ÙˆØª', 'country': 'Ø§Ù„ÙŠÙ…Ù†', 'country_code': 'ye'}, 'boundingbox': ['15.986021', '16.0450673', '49.0026899', '49.01164']}",low,low,no
clement,bergson_img_2021_04_17_02_54_27.jpg,"('17.0°37.0'12.1""N', '50.0°14.0'57.8""E')","(17.010277777777777, 50.00388888888889)",ye,Yemen,"{'place_id': 257927090, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 9149803, 'lat': '17.632392', 'lon': '49.953907', 'display_name': 'Ù…Ø¯ÙŠØ±ÙŠØ© Ø«Ù…ÙˆØ¯, Ù…Ø­Ø§ÙØ¸Ø© Ø­Ø¶Ø±Ù…ÙˆØª, Ø§Ù„ÙŠÙ…Ù†', 'address': {'district': 'Ù…Ø¯ÙŠØ±ÙŠØ© Ø«Ù…ÙˆØ¯', 'state': 'Ù…Ø­Ø§ÙØ¸Ø© Ø­Ø¶Ø±Ù…ÙˆØª', 'country': 'Ø§Ù„ÙŠÙ…Ù†', 'country_code': 'ye'}, 'boundingbox': ['16.4729638', '18.7480998', '49.1555773', '50.3884468']}",low,low,no
clement,bergson_img_2021_04_17_02_54_48.jpg,"('18.0°38.0'49.6""N', '51.0°5.0'34.8""E')","(18.010555555555555, 51.00138888888889)",ye,Yemen,"{'place_id': 257933635, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 9149804, 'lat': '17.989286', 'lon': '51.075926', 'display_name': 'Ù…Ø¯ÙŠØ±ÙŠØ© Ø±Ù…Ø§Ù‡, Ù…Ø­Ø§ÙØ¸Ø© Ø­Ø¶Ø±Ù…ÙˆØª, Ø§Ù„ÙŠÙ…Ù†', 'address': {'district': 'Ù…Ø¯ÙŠØ±ÙŠØ© Ø±Ù…Ø§Ù‡', 'state': 'Ù…Ø­Ø§ÙØ¸Ø© Ø­Ø¶Ø±Ù…ÙˆØª', 'country': 'Ø§Ù„ÙŠÙ…Ù†', 'country_code': 'ye'}, 'boundingbox': ['16.6286166', '19', '50.1550035', '52']}",low,low,no
clement,bergson_img_2021_04_17_02_55_10.jpg,"('19.0°43.0'5.2""N', '51.0°59.0'20.4""E')","(19.011944444444445, 51.01638888888889)",sa,Saudi Arabia,"{'place_id': 307965527, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 12424984, 'lat': '18.13887445', 'lon': '46.97544539120808', 'display_name': 'Ù…Ø­Ø§ÙØ¸Ø© Ø´Ø±ÙˆØ±Ù‡, Ù…Ù†Ø·Ù‚Ø© Ù†Ø¬Ø±Ø§Ù†, Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©', 'address': {'county': 'Ù…Ø­Ø§ÙØ¸Ø© Ø´Ø±ÙˆØ±Ù‡', 'state': 'Ù…Ù†Ø·Ù‚Ø© Ù†Ø¬Ø±Ø§Ù†', 'country': 'Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©', 'country_code': 'sa'}, 'boundingbox': ['16.95', '19.3332999', '45.5413868', '52.0017527']}",low,low,no
clement,bergson_img_2021_04_17_02_55_31.jpg,"('20.0°44.0'7.3""N', '52.0°51.0'24.0""E')","(20.01222222222222, 52.01416666666667)",sa,Saudi Arabia,"{'place_id': 257338284, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 3667294, 'lat': '23.3036077', 'lon': '50.1258804', 'display_name': 'Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ø´Ø±Ù‚ÙŠØ©, Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©', 'address': {'state': 'Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ø´Ø±Ù‚ÙŠØ©', 'country': 'Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©', 'country_code': 'sa'}, 'boundingbox': ['19.0005032', '29.1592544', '44.6459902', '55.6666851']}",low,low,no
clement,bergson_img_2021_04_17_02_55_52.jpg,"('21.0°44.0'50.2""N', '53.0°44.0'14.3""E')","(21.01222222222222, 53.01222222222222)",sa,Saudi Arabia,"{'place_id': 257338284, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 3667294, 'lat': '23.3036077', 'lon': '50.1258804', 'display_name': 'Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ø´Ø±Ù‚ÙŠØ©, Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©', 'address': {'state': 'Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ø´Ø±Ù‚ÙŠØ©', 'country': 'Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©', 'country_code': 'sa'}, 'boundingbox': ['19.0005032', '29.1592544', '44.6459902', '55.6666851']}",low,low,no
clement,bergson_img_2021_04_17_02_56_14.jpg,"('22.0°48.0'4.5""N', '54.0°40.0'28.6""E')","(22.013333333333332, 54.01111111111111)",sa,Saudi Arabia,"{'place_id': 257338284, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 3667294, 'lat': '23.3036077', 'lon': '50.1258804', 'display_name': 'Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ø´Ø±Ù‚ÙŠØ©, Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©', 'address': {'state': 'Ø§Ù„Ù…Ù†Ø·Ù‚Ø© Ø§Ù„Ø´Ø±Ù‚ÙŠØ©', 'country': 'Ø§Ù„Ø³Ø¹ÙˆØ¯ÙŠØ©', 'country_code': 'sa'}, 'boundingbox': ['19.0005032', '29.1592544', '44.6459902', '55.6666851']}",low,low,no
clement,bergson_img_2021_04_17_02_56_35.jpg,"('23.0°48.0'3.8""N', '55.0°35.0'3.4""E')","(23.013333333333332, 55.00972222222222)",ae,United Arab Emirates,"{'place_id': 257349091, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 3766481, 'lat': '23.99764435', 'lon': '53.64390975692133', 'display_name': 'Ø£Ø¨Ùˆ Ø¸Ø¨ÙŠ, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©', 'address': {'state': 'Ø£Ø¨Ùˆ Ø¸Ø¨ÙŠ', 'country': 'Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©', 'country_code': 'ae'}, 'boundingbox': ['22.6316214', '25.3638291', '51.4160714', '56.0173982']}",low,low,yes
clement,bergson_img_2021_04_17_02_56_56.jpg,"('24.0°47.0'39.8""N', '56.0°30.0'33.8""E')","(24.013055555555557, 56.00833333333333)",om,Oman,"{'place_id': 145001010, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 224155083, 'lat': '24.0123207', 'lon': '56.0080453', 'display_name': 'Ù…Ø­Ø§ÙØ¸Ø© Ø§Ù„Ø¨Ø±ÙŠÙ…ÙŠ, Ø¹Ù…Ø§Ù†', 'address': {'state': 'Ù…Ø­Ø§ÙØ¸Ø© Ø§Ù„Ø¨Ø±ÙŠÙ…ÙŠ', 'country': 'Ø¹Ù…Ø§Ù†', 'country_code': 'om'}, 'boundingbox': ['23.5403927', '24.0123207', '55.998951', '56.161858']}",low,medium,yes
clement,bergson_img_2021_04_17_02_57_18.jpg,"('25.0°49.0'39.3""N', '57.0°29.0'46.0""E')","(25.01361111111111, 57.00805555555556)",none,nan,not found,low,medium,yes
